,5,10,15,20,25,30
900,199.26292819161918,209.59046568574766,192.25672616236125,169.28319675867274,145.2553110172076,121.53528650600322
1000,237.41634080805827,261.0257136654892,250.48079571165633,231.89749230284613,211.03552352499528,189.7493104968739
1100,276.1179842650989,313.28169635036545,309.69275506216985,295.62087849553865,278.0196319400825,259.2446193150856
1200,315.3801333770337,366.36735165102976,369.89707043448186,360.4530006526923,346.20516000965983,330.0164373071947
1300,355.21908394557295,420.2999143036851,431.10939555350154,426.4104930881925,415.6040973917981,402.07525908076076
1400,395.65391228221284,475.1023499467088,493.3533057368784,493.51375728105904,486.2391746100757,475.4432124515204
